Date,Open,High,Low,Close,Adj Close,Volume
01-08-2012,21.996786,22.014286,21.535713,21.671785,18.504065,384501600
02-08-2012,21.530001,21.810356,21.4375,21.706785,18.533943,332158400
03-08-2012,21.915358,22.070715,21.841429,21.989286,18.775156,344920800
06-08-2012,22.04607,22.316786,21.973572,22.233929,18.984037,302103200
07-08-2012,22.241785,22.321428,22.072857,22.175358,18.934031,290446800
08-08-2012,22.121071,22.281429,22.039286,22.137857,18.902008,244706000
09-08-2012,22.066071,22.204643,22.064285,22.168928,19.009809,221642400
10-08-2012,22.096786,22.205713,22.09643,22.203571,19.039516,194938800
13-08-2012,22.263929,22.5,22.258928,22.5,19.293703,278832400
14-08-2012,22.566786,22.807501,22.5075,22.560356,19.345457,340169200
15-08-2012,22.546429,22.642857,22.419643,22.529642,19.31912,257342400
16-08-2012,22.543215,22.741428,22.517857,22.726429,19.487867,254534000
17-08-2012,22.857143,23.149643,22.814644,23.146786,19.848322,442761200
20-08-2012,23.214643,23.755358,23.210714,23.755358,20.370159,613384800
21-08-2012,23.957857,24.102858,23.22607,23.430714,20.091791,812719600
22-08-2012,23.372143,23.892857,23.146786,23.888214,20.484093,565322800
23-08-2012,23.789642,23.924999,23.612499,23.665358,20.292992,420128800
24-08-2012,23.553928,23.91,23.4125,23.686428,20.31106,437340400
27-08-2012,24.285357,24.316786,24.055,24.13143,20.692646,427008400
28-08-2012,24.106428,24.146429,23.952499,24.1,20.665699,267416800
29-08-2012,24.116072,24.202499,24.021429,24.0525,20.624968,202806800
30-08-2012,23.951429,23.983929,23.673214,23.709642,20.330971,302699600
31-08-2012,23.830357,23.878571,23.473213,23.758572,20.372927,338321200
04-09-2012,23.777143,24.112143,23.732143,24.106071,20.670908,367892000
05-09-2012,24.127501,24.155357,23.914286,23.936787,20.525747,336375200
06-09-2012,24.041786,24.224644,23.957144,24.1525,20.71072,391196400
07-09-2012,24.21607,24.374287,24.134644,24.30143,20.838425,329666400
10-09-2012,24.301786,24.403214,23.646429,23.669287,20.296364,487998000
11-09-2012,23.753929,23.932142,23.446428,23.592501,20.230516,503983200
12-09-2012,23.816071,23.924999,23.428572,23.92107,20.512264,712233200
13-09-2012,24.191786,24.482143,24.098928,24.392143,20.916206,598360000
14-09-2012,24.64143,24.892143,24.567499,24.688572,21.170395,600474000
17-09-2012,24.976786,24.992857,24.807501,24.992144,21.43071,398031200
18-09-2012,24.995714,25.083214,24.872143,25.068214,21.495941,373503200
19-09-2012,25.009287,25.1425,24.984644,25.075001,21.501759,326874800
20-09-2012,24.969999,25.002144,24.772142,24.953571,21.397631,336568400
21-09-2012,25.086071,25.18107,24.977142,25.003214,21.440203,571589200
24-09-2012,24.530714,24.825714,24.392857,24.67107,21.15539,639766400
25-09-2012,24.580713,24.742144,24.035713,24.055,20.627111,518789600
26-09-2012,23.883572,24.024643,23.614286,23.75643,20.371088,576503200
27-09-2012,23.724644,24.363214,23.583929,24.332857,20.865374,594090000
28-09-2012,24.241072,24.325357,23.8125,23.825001,20.429892,535110800
01-10-2012,23.969999,24.169643,23.446428,23.549643,20.193769,543594800
02-10-2012,23.63607,23.798214,23.237499,23.618214,20.252567,627992400
03-10-2012,23.745001,23.995001,23.665358,23.980356,20.563108,424281200
04-10-2012,23.973213,24.080357,23.769644,23.814285,20.420694,370725600
05-10-2012,23.757143,23.785713,23.26,23.306786,19.985521,594006000
08-10-2012,23.102858,23.127144,22.718214,22.791786,19.543905,637994000
09-10-2012,22.808929,22.874643,22.269644,22.708929,19.472853,838597200
10-10-2012,22.847857,23.035,22.75,22.889643,19.627819,510356000
11-10-2012,23.089287,23.114286,22.432142,22.432142,19.235518,546081200
12-10-2012,22.484285,22.692142,22.332144,22.489643,19.284815,460014800
15-10-2012,22.583929,22.683214,22.280357,22.67,19.439474,432502000
16-10-2012,22.691786,23.225,22.535713,23.206785,19.899765,549771600
17-10-2012,23.173929,23.313929,23,23.021786,19.741135,389037600
18-10-2012,22.842501,22.930714,22.5,22.594286,19.37455,476624400
19-10-2012,22.5375,22.563213,21.772142,21.780001,18.676306,744086000
22-10-2012,21.872143,22.692142,21.812857,22.643929,19.417124,546730800
23-10-2012,22.535713,22.639286,21.84643,21.905714,18.784103,707145600
24-10-2012,22.194286,22.376785,21.808571,22.029642,18.890371,558527200
25-10-2012,22.142857,22.214287,21.626785,21.769285,18.667114,656325600
26-10-2012,21.765356,21.928572,21.107143,21.571428,18.497444,1018432800
31-10-2012,21.245714,21.498571,20.989286,21.261429,18.231632,510003200
01-11-2012,21.365,21.535713,21.220358,21.305,18.268997,361298000
02-11-2012,21.281786,21.319643,20.526787,20.6,17.664459,599373600
05-11-2012,20.84,20.991785,20.628571,20.879286,17.90394,529135600
06-11-2012,21.079643,21.097857,20.717501,20.816071,17.849735,374917200
07-11-2012,20.494286,20.519285,19.848213,19.928572,17.166756,793648800
08-11-2012,20.022499,20.079643,19.1175,19.205357,16.54377,1056146000
09-11-2012,19.300714,19.817142,19.061428,19.537857,16.830191,929913600
12-11-2012,19.791071,19.803572,19.237499,19.386786,16.700052,515802000
13-11-2012,19.246786,19.66,19.155714,19.389286,16.702211,532949200
14-11-2012,19.482143,19.551786,19.149286,19.174286,16.51701,477170400
15-11-2012,19.1975,19.267857,18.665001,18.772142,16.170597,789910800
16-11-2012,18.757143,18.928572,18.0625,18.845715,16.233971,1266893600
19-11-2012,19.311071,20.267857,19.281429,20.204643,17.40457,823317600
20-11-2012,20.425358,20.426786,19.806429,20.032499,17.256283,642754000
21-11-2012,20.151787,20.263214,19.878571,20.060715,17.280588,373002000
23-11-2012,20.256071,20.428572,20.092857,20.410713,17.582081,272826400
26-11-2012,20.567858,21.071428,20.489643,21.054644,18.136776,630579600
27-11-2012,21.055357,21.08643,20.717857,20.885,17.990637,533330000
28-11-2012,20.616785,20.921429,20.437857,20.819286,17.934032,520864400
29-11-2012,21.079287,21.223213,20.901787,21.048571,18.131542,514698800
30-11-2012,20.956785,21.014286,20.809999,20.902857,18.006018,391319600
03-12-2012,21.201786,21.235357,20.910713,20.935356,18.034016,364280000
04-12-2012,20.77857,20.77857,20.433214,20.566071,17.715908,557068400
05-12-2012,20.318214,20.330357,19.241785,19.2425,16.575766,1044638000
06-12-2012,18.890715,19.76107,18.522499,19.544287,16.835733,1177212400
07-12-2012,19.764286,19.828571,18.928572,19.044643,16.405334,787040800
10-12-2012,18.75,19.2325,18.627857,18.922144,16.299807,630484400
11-12-2012,19.2775,19.627144,19.191786,19.335358,16.655754,592345600
12-12-2012,19.563213,19.571428,19.1525,19.25,16.58223,487144000
13-12-2012,18.969643,19.201429,18.77857,18.9175,16.295801,625259600
14-12-2012,18.383928,18.504642,18.056429,18.206785,15.683588,1009579200
17-12-2012,18.176071,18.571428,17.901072,18.529642,15.961702,757607200
18-12-2012,18.75,19.103571,18.580357,19.067858,16.425323,625685200
19-12-2012,18.981071,19.060715,18.767857,18.796785,16.191822,449369200
20-12-2012,18.928572,18.935715,18.531429,18.633215,16.050915,481689600
21-12-2012,18.3025,18.559643,18.222857,18.547501,15.977082,596268400
24-12-2012,18.583929,18.723213,18.525356,18.577499,16.002924,175753200
26-12-2012,18.535713,18.552143,18.254286,18.321428,15.782342,302436400
27-12-2012,18.340714,18.4375,18.023571,18.395,15.84572,455120400
28-12-2012,18.224644,18.374287,18.147142,18.199642,15.677435,354278400
31-12-2012,18.233213,19.121429,18.178572,19.006071,16.372103,659492400
02-01-2013,19.779285,19.821428,19.343929,19.608213,16.890793,560518000
03-01-2013,19.567142,19.631071,19.321428,19.360714,16.677593,352965200
04-01-2013,19.1775,19.236786,18.779642,18.821428,16.213047,594333600
07-01-2013,18.642857,18.90357,18.4,18.710714,16.117678,484156400
08-01-2013,18.900356,18.996071,18.616072,18.76107,16.161055,458707200
09-01-2013,18.660713,18.750357,18.428213,18.467857,15.908481,407604400
10-01-2013,18.876785,18.882856,18.411428,18.696787,16.10568,601146000
11-01-2013,18.607143,18.761429,18.536428,18.582144,16.006933,350506800
14-01-2013,17.952856,18.125,17.803928,17.919643,15.436232,734207600
15-01-2013,17.796429,17.821072,17.263571,17.354286,14.949233,876772400
16-01-2013,17.665714,18.194286,17.589287,18.074642,15.569755,690804800
17-01-2013,18.225357,18.241072,17.929644,17.952856,15.464849,453678400
18-01-2013,17.804285,17.936428,17.728571,17.857143,15.382398,472922800
22-01-2013,18.02,18.138571,17.736786,18.0275,15.529156,461546400
23-01-2013,18.171785,18.3925,18.0275,18.3575,15.813414,861509600
24-01-2013,16.428572,16.633215,16.080357,16.089287,13.859543,1460852400
25-01-2013,16.131786,16.293928,15.535714,15.71,13.532817,1208026400
28-01-2013,15.636786,16.186071,15.566429,16.065357,13.838931,785517600
29-01-2013,16.375,16.435715,16.147142,16.366785,14.098589,571158000
30-01-2013,16.321428,16.521429,16.232143,16.315357,14.054283,417155200
31-01-2013,16.320715,16.402857,16.249287,16.2675,14.013056,319334400
01-02-2013,16.396786,16.41,16.012501,16.200714,13.955526,539484400
04-02-2013,16.211071,16.283571,15.785714,15.797143,13.607887,477117200
05-02-2013,15.858929,16.419287,15.793571,16.351429,14.085354,573347600
06-02-2013,16.3025,16.660713,16.16357,16.333929,14.070279,593706400
07-02-2013,16.544643,16.785713,16.218571,16.722143,14.488644,704580800
08-02-2013,16.928572,17.100357,16.723213,16.963572,14.697826,633158400
11-02-2013,17.017857,17.319286,16.901787,17.140356,14.851003,517490400
12-02-2013,17.125357,17.227858,16.705,16.710714,14.478742,609053200
13-02-2013,16.686071,16.915714,16.543571,16.678928,14.451202,475207600
14-02-2013,16.59,16.844286,16.572144,16.663929,14.438206,355275200
15-02-2013,16.744642,16.79143,16.425714,16.434286,14.23924,391745200
19-02-2013,16.467857,16.526072,16.208929,16.428213,14.233974,435783600
20-02-2013,16.346071,16.346071,16.02857,16.030357,13.889258,476302400
21-02-2013,15.928571,16.041786,15.815,15.930714,13.802924,447182400
22-02-2013,16.044643,16.128571,15.95,16.100357,13.949908,330654800
25-02-2013,16.208929,16.254286,15.806071,15.814286,13.702048,372579200
26-02-2013,15.850714,16.126429,15.630714,16.034643,13.892971,501499600
27-02-2013,16.015356,16.158571,15.7375,15.8775,13.756813,587350400
28-02-2013,15.858929,15.995357,15.764286,15.764286,13.658724,322515200
01-03-2013,15.642857,15.649286,15.356429,15.373929,13.320504,552448400
04-03-2013,15.278571,15.292857,14.964286,15.001786,12.998069,582755600
05-03-2013,15.052857,15.5425,15.026786,15.397857,13.341238,638433600
06-03-2013,15.518214,15.544643,15.158214,15.202143,13.171665,460250000
07-03-2013,15.160714,15.428929,15.037857,15.377857,13.323909,468473600
08-03-2013,15.35,15.551071,15.3075,15.418571,13.359188,391482000
11-03-2013,15.348214,15.678929,15.183571,15.638214,13.549491,474236000
12-03-2013,15.557143,15.674286,15.270357,15.301071,13.25738,465911600
13-03-2013,15.301786,15.517857,15.191429,15.298214,13.254904,405549200
14-03-2013,15.458214,15.522857,15.373214,15.446429,13.383322,303875600
15-03-2013,15.640357,15.865357,15.616071,15.845,13.728657,643960800
18-03-2013,15.766071,16.337856,15.757143,16.275715,14.101844,606197200
19-03-2013,16.410713,16.463215,16.017857,16.231787,14.063787,526775200
20-03-2013,16.33643,16.343929,16.056786,16.145714,13.989207,308660800
21-03-2013,16.079287,16.356428,16.075001,16.168928,14.00932,383255600
22-03-2013,16.235001,16.503571,16.182501,16.496786,14.29339,395105200
25-03-2013,16.596071,16.78393,16.492144,16.556429,14.345062,501135600
26-03-2013,16.622856,16.637142,16.4475,16.469286,14.269563,294294000
27-03-2013,16.302143,16.314285,16.0975,16.145714,13.989207,331237200
28-03-2013,16.065001,16.136429,15.772143,15.809286,13.697716,442839600
01-04-2013,15.782143,15.846429,15.276429,15.318214,13.272235,389732000
02-04-2013,15.271429,15.647857,15.228571,15.349643,13.299461,529519200
