Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,152.830002,157.259995,141.270004,141.500000,140.711533,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,148.965256,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,164.378906,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,176.838242,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,174.059723,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,164.439545,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,174.111984,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,157.200348,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,148.415482,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,136.530350,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,162.284576,1447027700
2022-08-01,161.009995,172.169998,159.630005,172.100006,171.861282,641043100
2022-08-12,169.820007,172.169998,169.399994,172.100006,172.100006,68039382
